timestamp,county,callsign
2025-10-18 1409,WAR,W1FM
2025-10-18 1409,ERI,VE3OMV
2025-10-18 1409,CHA,VE3TM
2025-10-18 1409,CAT,VE3TM
2025-10-18 1409,ONO,VE3NFN
2025-10-18 1409,ERI,VE3AQ
2025-10-18 1409,SUF,VE1RGO
2025-10-18 1409,ERI,VE3DQN
2025-10-18 1409,SCU,NV4T
2025-10-18 1409,ERI,NY2A
2025-10-18 1409,ULS,NQ2W
2025-10-18 1409,COL,NQ2U
2025-10-18 1409,MON,N8II
2025-10-18 1409,NIA,N8II
2025-10-18 1409,ORL,N8II
2025-10-18 1409,CHA,N6DE
2025-10-18 1409,CAT,N6DE
2025-10-18 1409,CAT,N3KTA
2025-10-18 1409,ORA,N4IU
2025-10-18 1409,MTG,N2PP
2025-10-18 1409,SCH,N2PP
2025-10-18 1409,NIA,N3AM
2025-10-18 1409,LIV,N3AM
2025-10-18 1409,ERI,N3AM
2025-10-18 1409,ONO,N2T
2025-10-18 1409,OTS,N2MF
2025-10-18 1409,NIA,N2ZX
2025-10-18 1409,RIC,N2ZX
2025-10-18 1409,NIA,N2ZX
2025-10-18 1409,ORA,N2JJ
2025-10-18 1409,ORA,N2JJ
2025-10-18 1409,SCH,N2RC
2025-10-18 1409,SUF,N2RC
2025-10-18 1409,ORA,N0HJZ
2025-10-18 1409,ERI,N1NQD
2025-10-18 1409,ERI,N1IBM
2025-10-18 1409,SUF,N1IBM
2025-10-18 1409,ONO,N0LY
2025-10-18 1409,SAR,KR2AA
2025-10-18 1409,CHE,KS2G
2025-10-18 1409,COL,KS2G
2025-10-18 1409,SCU,KO8SCA
2025-10-18 1409,ORL,KE2EGF
2025-10-18 1409,WES,KC2MBV
2025-10-18 1409,NAS,KC1QEM
2025-10-18 1409,SUF,KB4DE
2025-10-18 1409,STL,K9CW
2025-10-18 1409,OSW,K9CW
2025-10-18 1409,MON,K9CW
2025-10-18 1409,MON,K8MR
2025-10-18 1409,ORA,K4RUM
2025-10-18 1409,FRA,K4RUM
2025-10-18 1409,STE,K4RUM
2025-10-18 1409,ONO,K4FTO
2025-10-18 1409,NIA,K2ZR
2025-10-18 1409,MON,K2SSS
2025-10-18 1409,SAR,K2QB
2025-10-18 1409,ORA,K2QB
2025-10-18 1409,NIA,K2EAG
2025-10-18 1409,FRA,K3QP
2025-10-18 1409,ESS,K3QP
2025-10-18 1409,ESS,K1BZ
2025-10-18 1409,YAT,AA3R
2025-10-18 1409,MON,AA0FO
2025-10-18 1409,ORL,EA3NO
2025-10-18 1409,OTS,W2E
2025-10-18 1409,DEL,W2E
2025-10-18 1409,OTS,W2E/WB2ELW
2025-10-18 1409,DEL,W2E/WB2ELW
2025-10-18 1409,MON,AC2RL
2025-10-18 1409,ONO,AB3CX
